Timestamp,Messages
1737224081.8979187,1
1737224081.9222333,2
1737224081.9888623,3
1737224082.0906916,4
1737224082.1947503,5
1737224082.285876,6
1737224082.3988843,7
1737224082.4827023,8
1737224082.5847368,9
1737224082.6809456,10
1737224082.780501,11
1737224082.8817194,12
1737224082.9840248,13
1737224083.0863228,14
1737224083.1911922,15
1737224083.2896352,16
1737224083.3815386,17
1737224083.4897811,18
1737224083.5820851,19
1737224083.6916716,20
1737224083.7959492,21
1737224083.8889675,22
1737224083.9844577,23
1737224084.078876,24
1737224084.1895204,25
1737224084.3051317,26
1737224084.3814085,27
1737224084.546769,28
1737224084.5833797,29
1737224084.691793,30
1737224084.7821996,31
1737224084.8914604,32
1737224084.9907532,33
1737224085.0796585,34
1737224085.1798937,35
1737224085.2808473,36
1737224085.378776,37
1737224085.4863732,38
1737224085.580199,39
1737224085.6934884,40
1737224085.7884414,41
1737224085.8804905,42
1737224085.9861784,43
1737224086.0911732,44
1737224086.1798654,45
1737224086.2967231,46
1737224086.3866053,47
1737224086.4903255,48
1737224086.580705,49
1737224086.693194,50
1737224086.790662,51
1737224086.8803625,52
1737224086.9799173,53
1737224087.346869,54
1737224087.3749561,55
1737224087.5009243,56
1737224087.6166797,57
1737224087.6377969,58
1737224087.6568527,59
1737224087.8627107,60
1737224087.8809266,61
1737224087.9105814,62
1737224088.020606,63
1737224088.0958712,64
1737224088.2105024,65
1737224088.2948623,66
1737224088.4458864,67
1737224088.5045805,68
1737224088.592478,69
1737224088.7151856,70
1737224088.8062384,71
1737224088.908542,72
1737224089.0142965,73
1737224089.1008317,74
1737224089.193572,75
1737224089.3064687,76
1737224089.403543,77
1737224089.5059924,78
1737224089.6376235,79
1737224089.7141962,80
1737224089.8215528,81
1737224089.8956347,82
1737224090.0382018,83
1737224090.1608925,84
1737224090.2126505,85
1737224090.315272,86
1737224090.4735713,87
1737224090.5228944,88
1737224090.6266448,89
1737224090.695792,90
1737224090.8254192,91
1737224090.9192421,92
1737224091.005489,93
1737224091.1154394,94
1737224091.2006674,95
1737224091.3204045,96
1737224091.4198039,97
1737224091.490546,98
1737224091.6128225,99
1737224091.7119007,100
1737224091.798622,101
1737224091.8971088,102
1737224092.009891,103
1737224092.1215649,104
1737224092.191215,105
1737224092.3004658,106
1737224092.4237516,107
1737224092.5199168,108
1737224092.5921814,109
1737224092.7031069,110
1737224092.8516161,111
1737224092.88908,112
1737224093.0117624,113
1737224093.1066203,114
1737224093.2320275,115
1737224093.3110533,116
1737224093.4217098,117
1737224093.4920874,118
1737224093.604657,119
1737224093.690511,120
1737224093.799156,121
1737224093.907594,122
1737224094.0218015,123
1737224094.0903308,124
1737224094.2098713,125
1737224094.2915506,126
1737224094.4065764,127
1737224094.4917188,128
1737224094.6081522,129
1737224094.719431,130
1737224094.801787,131
1737224094.9094548,132
1737224095.011724,133
1737224095.1392612,134
1737224095.1911154,135
1737224095.3138537,136
1737224095.3906252,137
1737224095.5116193,138
1737224095.5923722,139
1737224095.7122622,140
1737224095.7886093,141
1737224095.9051828,142
1737224096.0320673,143
1737224096.102086,144
1737224096.1863103,145
1737224096.3145907,146
1737224096.3927693,147
1737224096.5138698,148
1737224096.5893908,149
1737224096.7070658,150
1737224096.833138,151
1737224096.9072733,152
1737224097.01718,153
1737224097.0891058,154
1737224097.220926,155
1737224097.2893639,156
1737224097.4036314,157
1737224097.4920237,158
1737224097.615878,159
1737224097.691425,160
1737224097.8199992,161
1737224097.8901024,162
1737224098.0101676,163
1737224098.0898244,164
1737224098.189248,165
1737224098.3074825,166
1737224098.424834,167
1737224098.4926126,168
1737224098.6070693,169
1737224098.7076805,170
1737224098.789543,171
1737224098.910425,172
1737224099.0321712,173
1737224099.0879738,174
1737224099.1882727,175
1737224099.311649,176
1737224099.4347124,177
1737224099.4897301,178
1737224099.6140995,179
1737224099.689476,180
1737224099.8320704,181
1737224099.9026015,182
1737224099.9906268,183
1737224100.1174474,184
1737224100.1986384,185
1737224100.3224566,186
1737224100.3894134,187
1737224100.5247948,188
1737224100.5954542,189
1737224100.7455852,190
1737224100.7942843,191
1737224100.935232,192
1737224100.9906497,193
1737224101.1201744,194
1737224101.1958525,195
1737224101.3372066,196
1737224101.391677,197
1737224101.5140054,198
1737224101.6372771,199
1737224101.7066813,200
1737224101.8297532,201
1737224101.8890684,202
1737224102.0196965,203
1737224102.0912306,204
1737224102.2149425,205
1737224102.3004022,206
1737224102.441466,207
1737224102.4904008,208
1737224102.6277819,209
1737224102.6894364,210
