Timestamp,Messages
1737218942.3260539,1551
1737218943.3252969,2615
1737218944.3256943,2672
1737218945.3259313,3319
1737218946.3261511,2741
1737218947.3253133,3366
1737218948.325828,3261
1737218949.3260922,2796
1737218950.325962,3085
1737218951.3259583,2776
1737218952.327732,2920
1737218953.3258135,2823
1737218954.3266945,3094
1737218955.3302085,2867
1737218956.3249867,3145
1737218957.3259447,3401
1737218958.3259664,1593
1737218959.3260593,2139
1737218960.3259656,2065
1737218961.325979,1136
1737218962.3259766,3064
1737218963.3251398,2589
1737218964.3255162,1450
1737218965.326084,1854
1737218966.3261285,3115
1737218967.3269799,2855
1737218968.3250237,3179
1737218969.3260608,2266
1737218970.3258672,3284
1737218971.3312075,2970
1737218972.3266234,3456
1737218973.3259242,2938
1737218974.3259497,2796
1737218975.326033,3548
1737218976.325037,3090
1737218977.3258646,2160
1737218978.3263273,2360
1737218979.326684,2936
1737218980.3256066,3042
1737218981.3260374,1370
1737218982.3260005,2631
1737218983.3263793,3468
1737218984.3260422,1744
1737218985.3351378,3302
1737218986.326163,2671
1737218987.3261344,3188
1737218988.3257542,4109
1737218989.3259702,3622
1737218990.3259878,3784
1737218991.3260353,4111
1737218992.3261187,3760
1737218993.3259623,4224
1737218994.3260052,3147
1737218995.3267047,4063
1737218996.3259885,3138
1737218997.3262014,2283
1737218998.326009,3414
1737218999.3260043,1591
1737219000.325952,2102
1737219001.3257177,3838
1737219002.3259737,4132
1737219003.3259397,4268
1737219004.327623,3013
1737219005.3259888,2414
1737219006.326467,4200
1737219007.3243952,3956
1737219008.325989,4435
1737219009.3277326,3883
1737219010.3253922,4435
1737219011.3263824,3380
1737219012.326595,4632
1737219013.3259344,4519
1737219014.3264384,4431
1737219015.3259792,4514
1737219016.3255174,4326
1737219017.326021,4277
1737219018.3260686,4214
1737219019.3256123,3897
1737219020.326055,3840
1737219021.3270571,3984
1737219022.3260012,4253
1737219023.325986,4018
1737219024.326012,4244
1737219025.3260117,4452
1737219026.3259928,3964
1737219027.3260732,3234
1737219028.3259902,3998
1737219029.3259811,4219
1737219030.3253486,4087
1737219031.3259506,4570
1737219032.3262107,3889
1737219033.3262367,4176
1737219034.326276,4326
1737219035.3269234,3666
1737219036.3259847,4408
1737219037.3254569,4164
1737219038.3270693,4572
1737219039.3260007,2910
1737219040.3259132,3212
1737219041.3251686,4155
1737219042.325941,3744
1737219043.3255384,4208
1737219044.3259814,3788
1737219045.3259656,3903
1737219046.3259683,4380
1737219047.3260217,3582
1737219048.3268564,4396
1737219049.3257084,3714
1737219050.3258195,4094
1737219051.325974,2629
1737219052.3252087,3994
1737219053.328142,3988
1737219054.3254218,3397
1737219055.3259912,3814
1737219056.3391147,4046
1737219057.3262854,2347
1737219058.325882,3668
1737219059.325277,3754
1737219060.3250468,3782
1737219061.3267372,4065
1737219062.326174,3896
1737219063.3264246,4108
1737219064.326188,3537
1737219065.3259888,2731
1737219066.326051,1282
1737219067.3251548,2682
1737219068.3259983,3083
1737219069.3257418,3111
1737219070.325977,2591
1737219071.3257911,3286
1737219072.3271422,3599
1737219073.3259666,3816
1737219074.3259766,3738
1737219075.3259869,4130
1737219076.325988,2996
1737219077.3260236,2400
1737219078.3316884,3018
1737219079.32682,3293
1737219080.3259835,3230
1737219081.3259637,3219
1737219082.3252869,4319
1737219083.3265464,3889
1737219084.3260353,4241
1737219085.3259768,3427
1737219086.3260772,3554
1737219087.326433,3094
1737219088.3260193,2104
1737219089.3269117,3701
1737219090.3259835,4128
1737219091.3259912,3728
1737219092.326,2513
1737219093.3262203,3988
1737219094.3259592,4133
1737219095.3263113,4059
1737219096.3265903,4034
1737219097.3262167,4142
1737219098.325998,3925
1737219099.326175,4385
1737219100.3252106,4019
1737219101.3252323,3956
1737219102.3260357,4056
1737219103.3259673,3971
1737219104.3259816,3798
1737219105.325999,3972
1737219106.3254437,4065
1737219107.3269572,3963
1737219108.3260472,4352
1737219109.326,3945
1737219110.3258567,4000
1737219111.3260152,3397
1737219112.3260477,3988
1737219113.3255825,3845
1737219114.3260617,3888
1737219115.3259506,4119
1737219116.325883,4122
1737219117.3259902,3918
1737219118.3268783,4370
1737219119.3259456,3501
1737219120.3253825,3662
1737219121.3260396,3725
1737219122.3250616,4066
1737219123.3259768,4213
1737219124.325998,3480
1737219125.326637,4513
1737219126.3259737,3697
1737219127.3258302,3823
1737219128.3259792,4365
1737219129.3259661,3736
1737219130.3259661,4066
1737219131.3259742,3111
1737219132.3260512,4392
1737219133.3260534,4166
1737219134.3261535,4139
1737219135.325876,3854
1737219136.3250496,3915
1737219137.3259938,4186
1737219138.3273158,4063
1737219139.3262863,4228
1737219140.3263252,4129
1737219141.3259664,3652
1737219142.3259883,4458
1737219143.327266,4050
1737219144.3260298,4128
1737219145.3259706,4060
1737219146.3260303,4166
1737219147.326346,4125
1737219148.3260093,3974
1737219149.3259737,4011
1737219150.325702,3829
1737219151.3251863,4117
1737219152.3259916,4055
1737219153.3259676,4105
1737219154.3273585,4388
1737219155.326349,3762
1737219156.3252552,3937
1737219157.325883,3583
1737219158.326665,4314
1737219159.3255575,3827
1737219160.3259048,4180
1737219161.3259752,4231
1737219162.3260474,4102
1737219163.3259585,3854
1737219164.3260872,3969
1737219165.3259654,4155
1737219166.3259747,4353
1737219167.3263695,3766
1737219168.3274744,4237
1737219169.325963,4073
1737219170.3255038,4292
1737219171.3258114,4035
1737219172.32707,3779
1737219173.3250957,4179
1737219174.3254054,4133
1737219175.3273578,4127
1737219176.3260539,3629
1737219177.3259513,3059
1737219178.3259764,3827
1737219179.3272026,1881
1737219180.3259916,2945
